score,origin_type,count,median_D_min_ratio,median_P_4,median_P_8,median_P_16,median_kappa_max,median_Q_ratio,median_return_radius_proxy,median_InitHardness
4,search_derived,15,2.0,0.0007507507507507507,0.009009009009009009,0.08408408408408409,0.6666666666666666,77.01388888888889,28.0,-921.8285714285666
8,search_derived,25,1.5,0.0037537537537537537,0.02027027027027027,0.12537537537537538,0.8,38.55555555555556,29.0,-865.8285714285666
12,exact_derived,2,0.0,0.01051051051051051,0.030405405405405407,0.15015015015015015,2.0,25.82986111111111,1.0,-647.8285714285666
12,search_derived,25,1.0,0.012012012012012012,0.03303303303303303,0.15315315315315314,1.0,25.662037037037038,29.0,-937.8285714285666
16,exact_derived,21,0.0,0.02252252252252252,0.046546546546546545,0.16966966966966968,2.0,19.322916666666668,1.0,-761.8285714285666
16,search_derived,25,0.75,0.02252252252252252,0.05555555555555555,0.17792792792792791,1.2,19.28298611111111,29.0,-853.8285714285666
