origin_type,count,median_ExactLikeScore,median_D_min_ratio,median_P_8,median_kappa_max,median_Q_ratio
exact_derived,23,4.678992136796393,0.0,0.04504504504504504,2.0,19.322916666666668
search_derived,90,-1.1680671801512381,1.0,0.03003003003003003,1.0,25.761574074074076
