family,run_count,success_score0_count,false_basin_final_count,escapable_final_count,unknown_final_count,false_basin_rate,escapable_rate,success_rate,median_initial_score,median_initial_score_randnorm,median_initial_InitHardness,median_initial_Q_ratio,median_initial_P_8,median_initial_kappa_max,median_final_score,median_best_score,median_final_D_min_ratio,median_final_P_8,median_final_kappa_max,median_final_Q_ratio,distinct_initial_hashes,distinct_final_hashes,label_entropy
AP_regularized,20,0,6,4,10,0.3,0.2,0.0,104.0,0.33072869343994254,-677.8285714285666,2.9802350427350426,0.34684684684684686,3.0,12.0,12.0,1.0,0.04091591591591592,1.0,25.69212962962963,20,20,1.4854752972273344
energy_regularized,20,0,2,3,15,0.1,0.15,0.0,120.0,0.38161003089224144,-633.8285714285666,2.569946545544432,0.37274774774774777,3.25,12.0,8.0,1.0,0.027777777777777776,1.0,25.78472222222222,20,20,1.0540157730728
exact_perturbation,20,0,4,0,16,0.2,0.0,0.0,42.0,0.1335635108122845,-783.8285714285666,7.391445707070707,0.1719219219219219,2.0,12.0,12.0,1.0,0.029654654654654652,1.0,25.73263888888889,20,20,0.7219280948873623
low_energy_random,20,0,4,2,14,0.2,0.1,0.0,138.0,0.43885153552607764,-885.8285714285666,2.2278915732959854,0.41666666666666663,3.6333333333333333,12.0,8.0,1.0,0.03153153153153153,1.0,25.623842592592595,20,20,1.1567796494470395
mixed_diversity,20,0,3,3,14,0.15,0.15,0.0,174.0,0.5533345447937501,-657.8285714285666,1.795621549800329,0.4722222222222222,4.5,12.0,12.0,1.0,0.04016516516516516,1.0,25.372685185185183,20,20,1.1812908992306925
near_hit_perturbation,20,0,3,3,14,0.15,0.15,0.0,54.0,0.17172451390150864,-719.8285714285666,5.777758699633699,0.22297297297297297,2.2928571428571427,12.0,12.0,1.0,0.03903903903903904,1.0,25.570601851851855,20,20,1.1812908992306925
pure_random,20,0,3,2,15,0.15,0.1,0.0,278.0,0.8840632382336926,-247.82857142856665,1.1172079882677708,0.5743243243243243,5.45,14.0,12.0,1.0,0.043918918918918914,1.0,22.45775462962963,20,20,1.0540157730728
score_biased_random,20,0,3,2,15,0.15,0.1,0.0,124.0,0.3943303652553162,-493.82857142856665,2.4807436342592593,0.3963963963963964,3.3666666666666667,12.0,12.0,1.0,0.03566066066066066,1.0,25.71064814814815,20,20,1.0540157730728
