family,count,distinct_hashes,median_score,mean_score,median_score_randnorm,mean_score_randnorm,median_InitHardness,mean_InitHardness,median_Q_ratio,mean_Q_ratio,median_P_8,mean_P_8,median_P_16,mean_P_16,median_kappa_max,mean_kappa_max,median_E_excess_total,mean_E_excess_total,median_AP_excess_total,mean_AP_excess_total
AP_regularized,50,50,150.0,140.16,0.4770125386153018,0.445720516082138,-697.8285714285666,-606.7885714285667,2.0842618934724197,2.3505560333268183,0.42905405405405406,0.41466966966966967,0.5165165165165164,0.5127627627627628,3.708333333333333,3.744190476190476,-78.45714285714212,-73.25714285714211,-0.7999999999999758,-1.359999999999976
energy_regularized,50,50,140.0,140.24,0.445211702707615,0.44597492276939943,-573.8285714285666,-522.5485714285667,2.2154761904761906,2.3017045211792073,0.4189189189189189,0.4155105105105105,0.5165165165165165,0.5141591591591592,3.75,3.9387142857142856,-70.45714285714212,-63.577142857142114,0.20000000000002416,-1.639999999999976
exact_perturbation,50,50,80.0,84.4,0.2544066872614943,0.26839905506087647,-631.8285714285666,-582.8685714285666,3.8727430555555555,5.1081666600858675,0.30855855855855857,0.28804804804804807,0.42154654654654655,0.40324324324324323,3.0,2.9507142857142856,-80.45714285714212,-75.73714285714212,1.2000000000000242,0.6000000000000242
low_energy_random,50,50,190.0,193.6,0.6042158822460488,0.6156641831728161,-853.8285714285666,-891.7485714285666,1.617082840819543,1.7749448321904169,0.48986486486486486,0.48411411411411415,0.5758258258258258,0.5694894894894894,4.5,4.666904761904762,-112.45714285714212,-112.45714285714212,1.2000000000000242,0.40000000000002417
mixed_diversity,50,50,176.0,194.88,0.5596947119752874,0.6197346901690001,-605.8285714285666,-493.6685714285666,1.7770675505050506,1.9478036924120001,0.4733483483483484,0.4716516516516516,0.5604354354354355,0.5571021021021021,4.35,4.595380952380952,-76.45714285714212,-62.857142857142115,2.200000000000024,1.840000000000024
near_hit_perturbation,50,50,68.0,67.68,0.21624568417227014,0.21522805742322415,-719.8285714285666,-736.3085714285667,4.552083333333334,4.98956823700102,0.26313813813813813,0.26142642642642644,0.38813813813813813,0.38385885885885884,2.5,2.6325714285714286,-102.45714285714212,-93.65714285714212,-0.7999999999999758,0.2800000000000242
pure_random,50,50,278.0,300.16,0.8840632382336926,0.9545338906051265,12.171428571433353,11.771428571433352,1.1137860881067403,1.194346584623363,0.5690690690690691,0.572942942942943,0.631006006006006,0.6373573573573573,5.45,6.085095238095238,-2.4571428571421166,5.942857142857884,1.2000000000000242,-2.399999999999976
score_biased_random,50,50,144.0,146.16,0.4579320370706897,0.4648010176267501,-431.82857142856665,-454.86857142856667,2.1466049382716053,2.2369875906521832,0.4305555555555556,0.42575075075075075,0.5247747747747749,0.5223123123123123,3.8375,3.983642857142857,-56.45714285714212,-51.897142857142114,0.20000000000002416,-1.4799999999999758
