label,feature,row_count,count,missing_count,mean,median,std,min,p10,p25,p75,p90,max
exact_derived,P_thetaS_010,17,17,0,0.15399222752163927,0.15165165165165165,0.1010809107683309,0.009009009009009009,0.02792792792792793,0.05555555555555555,0.22147147147147148,0.30240240240240246,0.31906906906906907
exact_derived,kappa_max,17,17,0,2.6882352941176473,2.3333333333333335,0.9636491901258166,1.8,2.0,2.0,3.0,4.1000000000000005,5.0
exact_derived,kappa_q90,17,17,0,0.9698391477803243,1.0,0.25239904277856184,0.5,0.6685714285714286,0.7777777777777778,1.2,1.27,1.3333333333333333
exact_derived,kappa_q95,17,0,17,,,,,,,,,
exact_derived,kappa_q99,17,17,0,1.599953314659197,1.6,0.38582792958260204,0.8571428571428571,1.0857142857142859,1.3333333333333333,2.0,2.05,2.142857142857143
exact_derived,low_q_high_kappa_overlap,17,17,0,74.70588235294117,73.0,12.436969111967816,49.0,61.8,68.0,83.0,86.8,106.0
exact_derived,Q_ratio,17,17,0,7.408604422884988,5.510416666666667,4.28663708272144,3.212384259259259,3.8058829365079365,4.589460784313726,8.583333333333334,12.805238095238096,19.34027777777778
exact_derived,Q_tot,17,17,0,44548.0,44544.0,180.50386992755455,44160.0,44371.2,44436.0,44692.0,44731.2,44940.0
exact_derived,InitHardness,17,17,0,-733.8285714285666,-737.8285714285666,180.50386992755455,-1121.8285714285666,-910.6285714285666,-845.8285714285666,-589.8285714285666,-550.6285714285666,-341.82857142856665
exact_derived,E_total,17,17,0,8773.0,8769.0,24.73387769603369,8721.0,8748.2,8761.0,8789.0,8802.6,8829.0
exact_derived,AP_total,17,17,0,488.88235294117646,489.0,4.824963918684677,479.0,483.0,487.0,491.0,493.0,501.0
exact_derived,E_excess_total,17,17,0,-92.45714285714212,-96.45714285714212,24.73387769603369,-144.45714285714212,-117.25714285714213,-104.45714285714212,-76.45714285714212,-62.857142857142115,-36.45714285714212
exact_derived,AP_excess_total,17,17,0,-0.9176470588235053,-0.7999999999999758,4.824963918684677,-10.799999999999976,-6.799999999999976,-2.799999999999976,1.2000000000000242,3.200000000000024,11.200000000000024
exact_derived,improving_swap_count,17,17,0,109.3529411764706,110.0,75.65396547008942,4.0,14.600000000000001,38.0,177.0,204.6,218.0
exact_derived,near_improving_count_h_le_4,17,17,0,207.76470588235293,202.0,102.38653944834552,24.0,82.0,127.0,295.0,334.4,359.0
exact_derived,near_improving_count_h_le_8,17,17,0,274.8235294117647,288.0,108.70480009647156,50.0,142.60000000000002,199.0,374.0,402.8,425.0
exact_derived,near_improving_count_h_le_16,17,17,0,445.0,458.99999999999994,98.75221516502808,223.0,330.2,370.0,527.0,554.8,582.0
exact_derived,moment_zero_count_3,17,17,0,0.29411764705882354,0.0,0.45564509955381377,0.0,0.0,0.0,1.0,1.0,1.0
exact_derived,moment_zero_count_6,17,17,0,0.5294117647058824,0.0,0.6960093862470137,0.0,0.0,0.0,1.0,1.4000000000000004,2.0
exact_derived,higher_moment_norm,17,17,0,337.5882352941176,336.0,145.51735648389948,49.0,183.20000000000002,214.0,424.0,502.00000000000006,650.0
hard_basin,score,2,2,0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0
hard_basin,D_min_ratio,2,2,0,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333
hard_basin,h_min,2,2,0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
hard_basin,h_min_over_S,2,2,0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
hard_basin,P_<0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_basin,P_0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_basin,P_4,2,2,0,0.009384384384384385,0.009384384384384385,0.0003753753753753756,0.009009009009009009,0.009084084084084084,0.009196696696696698,0.009572072072072071,0.009684684684684685,0.00975975975975976
hard_basin,P_8,2,2,0,0.026651651651651655,0.026651651651651655,0.0003753753753753756,0.026276276276276277,0.026351351351351353,0.026463963963963964,0.02683933933933934,0.026951951951951953,0.02702702702702703
hard_basin,P_16,2,2,0,0.15052552552552553,0.15052552552552553,0.009384384384384381,0.14114114114114115,0.14301801801801803,0.14583333333333334,0.15521771771771772,0.15803303303303304,0.15990990990990991
hard_basin,P_thetaS_001,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_basin,P_thetaS_005,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_basin,P_thetaS_010,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_basin,kappa_max,2,2,0,0.8819444444444444,0.8819444444444444,0.00694444444444442,0.875,0.8763888888888889,0.8784722222222222,0.8854166666666666,0.8875,0.8888888888888888
hard_basin,kappa_q90,2,2,0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4285714285714285,0.42857142857142855
hard_basin,kappa_q95,2,0,2,,,,,,,,,
hard_basin,kappa_q99,2,2,0,0.7142857142857143,0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
hard_basin,low_q_high_kappa_overlap,2,2,0,55.0,55.0,20.0,35.0,39.0,45.0,65.0,71.0,75.0
