rule_name,evaluated_count,missing_count,tp_exact_like,fp_exact_like,tn_false_like,fn_exact_like,accuracy,precision_exact_like,recall_exact_like,precision_false_like,recall_false_like,P_4_median,P_8_median,ExactLikeScore_exact_median,ExactLikeScore_false_median,ExactLikeScore_threshold,ExactLikeScore_ambiguous_margin
D_min_ratio_rule,55,1,17,0,38,0,1.0,1.0,1.0,1.0,1.0,0.011636636636636636,0.036036036036036036,4.114585017008181,-3.0715724682879104,0.5215062743601351,1.7965393713240227
kappa_rule,56,0,17,11,27,1,0.7857142857142857,0.6071428571428571,0.9444444444444444,0.9642857142857143,0.7105263157894737,0.011636636636636636,0.036036036036036036,4.114585017008181,-3.0715724682879104,0.5215062743601351,1.7965393713240227
P_tau_rule,56,0,17,0,38,1,0.9821428571428571,1.0,0.9444444444444444,0.9743589743589743,1.0,0.011636636636636636,0.036036036036036036,4.114585017008181,-3.0715724682879104,0.5215062743601351,1.7965393713240227
composite_rule,56,0,17,0,38,1,0.9821428571428571,1.0,0.9444444444444444,0.9743589743589743,1.0,0.011636636636636636,0.036036036036036036,4.114585017008181,-3.0715724682879104,0.5215062743601351,1.7965393713240227
