label_a,label_b,feature,count_a,count_b,median_a,median_b,median_difference,mean_a,mean_b,mean_difference,effect_size,auc_like_A_gt_B,auc_like_A_lt_B,exact_like_direction,exact_like_auc
exact_derived,search_derived_false_basin,score,17,36,56.0,8.0,48.0,53.1764705882353,6.333333333333333,46.84313725490196,2.944903235990552,1.0,0.0,low,0.0
exact_derived,search_derived_false_basin,D_min_ratio,17,36,0.4375,1.5,-1.0625,0.3292574639892979,1.6666666666666667,-1.3374092026773687,-2.9008237329377002,0.0,1.0,low,1.0
exact_derived,search_derived_false_basin,h_min,17,36,-32.0,4.0,-36.0,-32.0,3.2222222222222223,-35.22222222222222,-4.9767129354632695,0.0,1.0,low,1.0
exact_derived,search_derived_false_basin,h_min_over_S,17,36,-0.5625,0.5,-1.0625,-0.6707425360107021,0.6666666666666666,-1.3374092026773687,-2.9008237329377002,0.0,1.0,low,1.0
exact_derived,search_derived_false_basin,P_<0,17,36,0.08258258258258258,0.0,0.08258258258258258,0.08209680268503798,0.0,0.08209680268503798,2.0441547450449753,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,P_0,17,36,0.1111111111111111,0.0,0.1111111111111111,0.11384914326090796,0.0003128128128128128,0.11353633044809515,2.3790813596772136,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,P_4,17,36,0.15165165165165165,0.003003003003003003,0.14864864864864866,0.15597950892068538,0.003169836503169836,0.15280967241751553,2.8097837682916866,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,P_8,17,36,0.21621621621621623,0.014264264264264264,0.20195195195195195,0.2063239710298534,0.015098431765098431,0.19122553926475497,3.301255642187999,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,P_16,17,36,0.34459459459459457,0.10810810810810811,0.23648648648648646,0.3340840840840841,0.10629379379379379,0.2277902902902903,4.1854957298236135,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,P_thetaS_001,17,36,0.1111111111111111,0.0,0.1111111111111111,0.11384914326090796,0.0003128128128128128,0.11353633044809515,2.3790813596772136,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,P_thetaS_005,17,36,0.1111111111111111,0.0,0.1111111111111111,0.12405052110934464,0.0003128128128128128,0.12373770829653183,2.1211245837526453,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,P_thetaS_010,17,36,0.15165165165165165,0.0,0.15165165165165165,0.15399222752163927,0.0003128128128128128,0.15367941470882646,2.1500834214049505,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,kappa_max,17,36,2.3333333333333335,0.775,1.5583333333333336,2.6882352941176473,0.7898148148148149,1.8984204793028323,2.7468574492750055,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,kappa_q90,17,36,1.0,0.3333333333333333,0.6666666666666667,0.9698391477803243,0.3033810325476992,0.6664581152326251,3.661923001799029,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,kappa_q95,0,0,,,,,,,,,,high,
exact_derived,search_derived_false_basin,kappa_q99,17,36,1.6,0.5714285714285714,1.0285714285714287,1.599953314659197,0.5227623456790123,1.0771909689801848,3.8313634961186582,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,low_q_high_kappa_overlap,17,36,73.0,71.0,2.0,74.70588235294117,66.83333333333333,7.872549019607845,0.5287114510224293,0.6086601307189542,0.39133986928104575,high,0.6086601307189542
exact_derived,search_derived_false_basin,Q_ratio,17,36,5.510416666666667,38.60416666666667,-33.09375000000001,7.408604422884988,54.464699074074076,-47.056094651189085,-3.4155971813881085,0.0,1.0,low,1.0
exact_derived,search_derived_false_basin,Q_tot,17,36,44544.0,44290.0,254.0,44548.0,44275.555555555555,272.44444444444525,1.1638621277987264,0.8104575163398693,0.1895424836601307,unspecified,
exact_derived,search_derived_false_basin,InitHardness,17,36,-737.8285714285666,-991.8285714285666,254.0,-733.8285714285666,-1006.2730158730111,272.44444444444446,1.1638621277987231,0.8104575163398693,0.1895424836601307,unspecified,
exact_derived,search_derived_false_basin,E_total,17,36,8769.0,8737.0,32.0,8773.0,8743.0,30.0,1.1188162961588737,0.7883986928104575,0.21160130718954248,unspecified,
exact_derived,search_derived_false_basin,AP_total,17,36,489.0,488.0,1.0,488.88235294117646,488.3333333333333,0.5490196078431495,0.06955368018125094,0.5514705882352942,0.4485294117647059,unspecified,
exact_derived,search_derived_false_basin,E_excess_total,17,36,-96.45714285714212,-128.45714285714212,32.0,-92.45714285714212,-122.45714285714212,30.0,1.1188162961588737,0.7883986928104575,0.21160130718954248,unspecified,
exact_derived,search_derived_false_basin,AP_excess_total,17,36,-0.7999999999999758,-1.7999999999999758,1.0,-0.9176470588235053,-1.4666666666666426,0.5490196078431373,0.06955368018124938,0.5514705882352942,0.4485294117647059,unspecified,
exact_derived,search_derived_false_basin,improving_swap_count,17,36,110.0,0.0,110.0,109.3529411764706,0.0,109.3529411764706,2.0441547450449753,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,near_improving_count_h_le_4,17,36,202.0,4.0,198.0,207.76470588235293,4.222222222222222,203.5424836601307,2.8097837682916866,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,near_improving_count_h_le_8,17,36,288.0,19.0,269.0,274.8235294117647,20.11111111111111,254.71241830065358,3.3012556421879986,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,near_improving_count_h_le_16,17,36,458.99999999999994,144.0,314.99999999999994,445.0,141.58333333333334,303.41666666666663,4.1854957298236135,1.0,0.0,high,1.0
exact_derived,search_derived_false_basin,moment_zero_count_3,17,36,0.0,0.0,0.0,0.29411764705882354,0.027777777777777776,0.26633986928104575,0.7776244966257745,0.6331699346405228,0.3668300653594771,unspecified,
exact_derived,search_derived_false_basin,moment_zero_count_6,17,36,0.0,0.0,0.0,0.5294117647058824,0.1388888888888889,0.39052287581699346,0.629100959253342,0.6617647058823529,0.3382352941176471,unspecified,
exact_derived,search_derived_false_basin,higher_moment_norm,17,36,336.0,361.0,-25.0,337.5882352941176,358.72222222222223,-21.133986928104605,-0.12040648314174349,0.4665032679738562,0.5334967320261438,unspecified,
exact_derived,hard_basin,score,17,2,56.0,12.0,44.0,53.1764705882353,12.0,41.1764705882353,2.598659649422975,1.0,0.0,low,0.0
exact_derived,hard_basin,D_min_ratio,17,2,0.4375,1.3333333333333333,-0.8958333333333333,0.3292574639892979,1.3333333333333333,-1.0040758693440353,-6.3424545754839805,0.0,1.0,low,1.0
exact_derived,hard_basin,h_min,17,2,-32.0,4.0,-36.0,-32.0,4.0,-36.0,-5.247856705360769,0.0,1.0,low,1.0
exact_derived,hard_basin,h_min_over_S,17,2,-0.5625,0.3333333333333333,-0.8958333333333333,-0.6707425360107021,0.3333333333333333,-1.0040758693440355,-6.342454575483982,0.0,1.0,low,1.0
