best_D_min_ratio_frontier_count,best_P_tau_frontier_count,best_exactlike_score_frontier_count,best_kappa_frontier_count,best_score_frontier_count,distinct_frontier_hashes,diversity_frontier_count,frontier_count,label_distribution,mean_D_min_ratio,mean_ExactLikeScore,mean_P_16,mean_P_4,mean_P_8,mean_Q_ratio,mean_kappa_max,mean_score,median_D_min_ratio,median_ExactLikeScore,median_P_16,median_P_4,median_P_8,median_Q_ratio,median_kappa_max,median_score,mode,score_distribution
0,0,0,0,6,23,18,23,"{""ambiguous"": 8, ""false_like"": 15}",1.608695652173913,-2.855120020176176,0.10634547591069331,0.0028724376550463507,0.01579840710275493,50.044082125603865,0.8032091097308488,6.782608695652174,1.5,-2.5524403082316858,0.11186186186186187,0.0022522522522522522,0.017267267267267267,38.576388888888886,0.75,8.0,exactlike_guided,"{""4"": 7, ""8"": 16}"
11,10,15,11,0,39,18,39,"{""exact_like"": 39}",0.3802118936060037,4.560997594585102,0.47145222145222143,0.3401863401863402,0.3768768768768769,6.578024998619888,4.143833943833944,161.84615384615384,0.5,5.314440172821309,0.5540540540540541,0.41216216216216217,0.46321321321321324,1.7970328282828283,4.25,176.0,initialization,"{""128"": 2, ""132"": 1, ""140"": 1, ""156"": 2, ""16"": 11, ""160"": 1, ""168"": 1, ""176"": 1, ""180"": 3, ""188"": 2, ""200"": 1, ""204"": 1, ""208"": 1, ""244"": 1, ""248"": 1, ""252"": 1, ""256"": 1, ""268"": 1, ""284"": 1, ""292"": 1, ""308"": 1, ""332"": 1, ""356"": 1, ""424"": 1}"
0,0,0,0,0,11,11,11,"{""ambiguous"": 8, ""false_like"": 3}",1.1363636363636365,-1.7638933602999813,0.1470788970788971,0.010783510783510784,0.03303303303303303,28.007996632996633,0.9536796536796537,11.636363636363637,1.0,-1.5328831984469256,0.15090090090090091,0.01126126126126126,0.03528528528528529,25.613425925925927,1.0,12.0,score_only,"{""12"": 6, ""16"": 2, ""8"": 3}"
0,0,0,0,12,20,13,20,"{""exact_like"": 2, ""false_like"": 18}",1.95,-3.4336575667490314,0.1042042042042042,0.0052927927927927925,0.017942942942942942,59.58402777777778,0.7514285714285714,6.4,2.0,-3.768687006956549,0.09346846846846847,0.0026276276276276274,0.011636636636636638,76.28819444444444,0.6666666666666666,4.0,threshold_exactlike,"{""16"": 2, ""4"": 12, ""8"": 6}"
